zip,description,timestamp,lng,lat,place,city
47906,2 individuals weekly,5/3/2020 11:11:09,-86.92,40.43,"West Lafayette, Indiana 47906, United States","West Lafayette, Indiana"
49418,24 individuals Every other week,5/4/2020 0:03:12,-85.76,42.88,"Grandville, Michigan 49418, United States","Grandville, Michigan"
45322,5 individuals Weekly,6/2/2020 17:45:33,-84.28,39.86,"Englewood, Ohio 45322, United States","Englewood, Ohio"
48423,15 individuals Weekly,6/3/2020 6:43:44,-83.52,43.03,"Davison, Michigan 48423, United States","Davison, Michigan"
47374,7 individuals Weekly,6/3/2020 7:32:05,-84.89,39.83,"Richmond, Indiana 47374, United States","Richmond, Indiana"
43040,5 individuals Monthly,6/3/2020 8:38:58,-83.38,40.25,"Marysville, Ohio 43040, United States","Marysville, Ohio"
43342,5 individuals Monthly,6/3/2020 8:42:37,-83.19,40.45,"Prospect, Ohio 43342, United States","Prospect, Ohio"
46260,2 individuals every other week,6/3/2020 9:36:40,-86.16,39.93,"Indianapolis, Indiana 46260, United States","Indianapolis, Indiana"
48108,5 individuals Weekly,6/3/2020 15:19:32,-83.75,42.24,"Ann Arbor, Michigan 48108, United States","Ann Arbor, Michigan"
48105,12 individuals weekly,6/3/2020 17:15:22,-83.72,42.3,"Ann Arbor, Michigan 48105, United States","Ann Arbor, Michigan"
44646,2 individuals weekly,6/3/2020 18:29:18,-81.52,40.8,"Massillon, Ohio 44646, United States","Massillon, Ohio"
44264,11 individuals Weekly,6/3/2020 22:22:24,-81.5,41.25,"Peninsula, Ohio 44264, United States","Peninsula, Ohio"
44264,7 individuals Weekly,6/3/2020 22:24:36,-81.5,41.25,"Peninsula, Ohio 44264, United States","Peninsula, Ohio"
45420,40 individuals weekly,6/4/2020 21:25:13,-84.17,39.74,"Dayton, Ohio 45420, United States","Dayton, Ohio"
45440,8 individuals Monthly,6/5/2020 13:08:13,-84.1,39.69,"Dayton, Ohio 45440, United States","Dayton, Ohio"
48322,8 individuals Monthly,6/6/2020 15:46:46,-83.36,42.54,"West Bloomfield, Michigan 48322, United States","West Bloomfield, Michigan"
43081,16 individuals WEEKLY,6/10/2020 9:35:49,-82.94,40.13,"Westerville, Ohio 43081, United States","Westerville, Ohio"
45069,4 individuals Week,6/10/2020 11:14:31,-84.43,39.32,"West Chester, Ohio 45069, United States","West Chester, Ohio"
48423,10 individuals weekly,6/10/2020 15:46:12,-83.52,43.03,"Davison, Michigan 48423, United States","Davison, Michigan"
43040,10 individuals Weekly,6/12/2020 14:49:20,-83.38,40.25,"Marysville, Ohio 43040, United States","Marysville, Ohio"
49735,6 individuals Weekly,6/12/2020 15:04:29,-84.68,45.03,"Gaylord, Michigan 49735, United States","Gaylord, Michigan"
47130,8 individuals Weekly,6/12/2020 15:07:23,-85.75,38.27,"Jeffersonville, Indiana 47130, United States","Jeffersonville, Indiana"
48178,10 individuals monthly,6/12/2020 15:32:08,-83.65,42.44,"South Lyon, Michigan 48178, United States","South Lyon, Michigan"
44685,48 individuals Weekly,6/12/2020 20:18:46,-81.46,40.97,"Uniontown, Ohio 44685, United States","Uniontown, Ohio"
45742,12 individuals monthly,6/12/2020 20:49:55,-81.72,39.28,"Little Hocking, Ohio 45742, United States","Little Hocking, Ohio"
44118,19 individuals weekly,6/13/2020 11:17:04,-81.53,41.49,"Cleveland, Ohio 44118, United States","Cleveland, Ohio"
43219,45 individuals Started monthly now bi-weekly,6/13/2020 17:32:27,-82.92,40.05,"Columbus, Ohio 43219, United States","Columbus, Ohio"
48423,4 individuals Weekly,6/13/2020 21:56:06,-83.52,43.03,"Davison, Michigan 48423, United States","Davison, Michigan"
43209,6 individuals weekly on Fridays at 6:00pm,6/13/2020 23:20:44,-82.94,39.95,"Columbus, Ohio 43209, United States","Columbus, Ohio"
44902,3 individuals Once month,6/14/2020 10:29:49,-82.52,40.76,"Mansfield, Ohio 44902, United States","Mansfield, Ohio"
46947,0 individuals Monthly,6/14/2020 21:33:10,-86.33,40.76,"Logansport, Indiana 46947, United States","Logansport, Indiana"
44118,6 individuals Every other week,6/14/2020 22:42:47,-81.53,41.49,"Cleveland, Ohio 44118, United States","Cleveland, Ohio"
46807,4 individuals weekely,6/15/2020 10:00:06,-85.14,41.05,"Fort Wayne, Indiana 46807, United States","Fort Wayne, Indiana"
46032,"2 individuals once a week, Thursdays",6/15/2020 14:57:26,-86.13,40,"Carmel, Indiana 46032, United States","Carmel, Indiana"
48420,5 individuals Monthly,6/16/2020 8:40:04,-83.73,43.18,"Clio, Michigan 48420, United States","Clio, Michigan"
45387,"9 individuals every other week at least, sometimes more",6/16/2020 22:33:03,-83.89,39.81,"Yellow Springs, Ohio 45387, United States","Yellow Springs, Ohio"
43221,30 individuals Monthly,6/17/2020 13:22:23,-83.04,40,"Columbus, Ohio 43221, United States","Columbus, Ohio"
47401,2 individuals Daily,6/19/2020 2:45:02,-86.5,39.16,"Bloomington, Indiana 47401, United States","Bloomington, Indiana"
46278,9 individuals Once a month,6/19/2020 16:57:51,-86.27,39.88,"Indianapolis, Indiana 46278, United States","Indianapolis, Indiana"
44146,7 individuals weekly,6/20/2020 10:34:54,-81.53,41.4,"Bedford, Ohio 44146, United States","Bedford, Ohio"
44146,8 individuals daily,6/20/2020 10:38:01,-81.53,41.4,"Bedford, Ohio 44146, United States","Bedford, Ohio"
46224,4 individuals 5-6 days per week,6/20/2020 12:55:38,-86.24,39.79,"Indianapolis, Indiana 46224, United States","Indianapolis, Indiana"
47906,50 individuals every other week,6/21/2020 15:49:55,-86.92,40.43,"West Lafayette, Indiana 47906, United States","West Lafayette, Indiana"
47906,4 individuals Weekly,6/21/2020 16:20:44,-86.92,40.43,"West Lafayette, Indiana 47906, United States","West Lafayette, Indiana"
44857,1 individuals Monthly,6/23/2020 10:20:32,-82.61,41.24,"Norwalk, Ohio 44857, United States","Norwalk, Ohio"
44116,3 individuals Bi-monthly,6/23/2020 16:37:08,-81.85,41.46,"Rocky River, Ohio 44116, United States","Rocky River, Ohio"
46260,2 individuals weekly,6/24/2020 12:40:06,-86.16,39.93,"Indianapolis, Indiana 46260, United States","Indianapolis, Indiana"
45231,2 individuals Weekly,6/25/2020 19:24:46,-84.52,39.22,"Cincinnati, Ohio 45231, United States","Cincinnati, Ohio"
44406,3 individuals Monthly,6/26/2020 11:21:03,-80.76,41.01,"Canfield, Ohio 44406, United States","Canfield, Ohio"
44119,2 individuals Weekly,6/26/2020 11:27:59,-81.53,41.59,"Cleveland, Ohio 44119, United States","Cleveland, Ohio"
43551,6 individuals Monthly,6/26/2020 12:28:38,-83.6,41.55,"Perrysburg, Ohio 43551, United States","Perrysburg, Ohio"
44121,6 individuals First and Third Tuesday of the month,6/26/2020 12:41:06,-81.54,41.53,"Cleveland, Ohio 44121, United States","Cleveland, Ohio"
48198,2 individuals Weekly,6/26/2020 13:40:14,-83.61,42.24,"Ypsilanti, Michigan 48198, United States","Ypsilanti, Michigan"
44122,24 individuals 2nd and 4th Friday,6/26/2020 22:07:12,-81.5,41.5,"Beachwood, Ohio 44122, United States","Beachwood, Ohio"
44022,2 individuals Daily,6/27/2020 22:06:20,-81.39,41.43,"Chagrin Falls, Ohio 44022, United States","Chagrin Falls, Ohio"
48126,5 individuals Every other week,6/28/2020 10:31:07,-83.22,42.32,"Dearborn, Michigan 48126, United States","Dearborn, Michigan"
48223,6 individuals Bimonthly,6/28/2020 10:32:43,-83.22,42.39,"Detroit, Michigan 48223, United States","Detroit, Michigan"
48439,9 individuals weekly,6/28/2020 10:34:08,-83.62,42.92,"Grand Blanc, Michigan 48439, United States","Grand Blanc, Michigan"
44072,3 individuals weekly,6/29/2020 16:48:43,-81.34,41.48,"Novelty, Ohio 44072, United States","Novelty, Ohio"
46220,2 individuals weekly,6/29/2020 19:22:33,-86.14,39.87,"Indianapolis, Indiana 46220, United States","Indianapolis, Indiana"
48423,2 individuals Daily Dawn Devotionals,7/6/2020 6:18:15,-83.52,43.03,"Davison, Michigan 48423, United States","Davison, Michigan"
