zip,lng,lat,place
47906,-86.92,40.43,"West Lafayette, Indiana 47906, United States"
49418,-85.76,42.88,"Grandville, Michigan 49418, United States"
45322,-84.28,39.86,"Englewood, Ohio 45322, United States"
48423,-83.52,43.03,"Davison, Michigan 48423, United States"
47374,-84.89,39.83,"Richmond, Indiana 47374, United States"
43040,-83.38,40.25,"Marysville, Ohio 43040, United States"
43342,-83.19,40.45,"Prospect, Ohio 43342, United States"
46260,-86.16,39.93,"Indianapolis, Indiana 46260, United States"
48108,-83.75,42.24,"Ann Arbor, Michigan 48108, United States"
48105,-83.72,42.3,"Ann Arbor, Michigan 48105, United States"
44646,-81.52,40.8,"Massillon, Ohio 44646, United States"
44264,-81.5,41.25,"Peninsula, Ohio 44264, United States"
45420,-84.17,39.74,"Dayton, Ohio 45420, United States"
45440,-84.1,39.69,"Dayton, Ohio 45440, United States"
48322,-83.36,42.54,"West Bloomfield, Michigan 48322, United States"
43081,-82.94,40.13,"Westerville, Ohio 43081, United States"
45069,-84.43,39.32,"West Chester, Ohio 45069, United States"
49735,-84.68,45.03,"Gaylord, Michigan 49735, United States"
47130,-85.75,38.27,"Jeffersonville, Indiana 47130, United States"
48178,-83.65,42.44,"South Lyon, Michigan 48178, United States"
43078,-83.75,40.11,"Urbana, Ohio 43078, United States"
44685,-81.46,40.97,"Uniontown, Ohio 44685, United States"
45742,-81.72,39.28,"Little Hocking, Ohio 45742, United States"
44118,-81.53,41.49,"Cleveland, Ohio 44118, United States"
43219,-82.92,40.05,"Columbus, Ohio 43219, United States"
43209,-82.94,39.95,"Columbus, Ohio 43209, United States"
44902,-82.52,40.76,"Mansfield, Ohio 44902, United States"
46807,-85.14,41.05,"Fort Wayne, Indiana 46807, United States"
46032,-86.13,40,"Carmel, Indiana 46032, United States"
48420,-83.73,43.18,"Clio, Michigan 48420, United States"
45387,-83.89,39.81,"Yellow Springs, Ohio 45387, United States"
43221,-83.04,40,"Columbus, Ohio 43221, United States"
47401,-86.5,39.16,"Bloomington, Indiana 47401, United States"
46278,-86.27,39.88,"Indianapolis, Indiana 46278, United States"
44146,-81.53,41.4,"Bedford, Ohio 44146, United States"
46224,-86.24,39.79,"Indianapolis, Indiana 46224, United States"
44857,-82.61,41.24,"Norwalk, Ohio 44857, United States"
44116,-81.85,41.46,"Rocky River, Ohio 44116, United States"
45231,-84.52,39.22,"Cincinnati, Ohio 45231, United States"
44406,-80.76,41.01,"Canfield, Ohio 44406, United States"
44119,-81.53,41.59,"Cleveland, Ohio 44119, United States"
43551,-83.6,41.55,"Perrysburg, Ohio 43551, United States"
